code,name,market,theme,gics_sector,is_candidate,algo_role,source_discovered,aum_billion,expense_ratio_pct,added_date,note
IJH,标普400中盘,美股,SP1500装载源,,true,L1_loader,notion_curation,,,,ADR-022 装载源 · SP400 中盘
IJR,标普600小盘,美股,SP1500装载源,,true,L1_loader,notion_curation,,,,ADR-022 装载源 · SP600 小盘
INDA,印度股,美股,印度,,true,L2_theme,notion_curation,,,,MSCI 印度
IPO,Renaissance IPO,美股,IPO装载源,,true,L1_loader,notion_curation,,,,ADR-022 装载源 · Renaissance IPO ETF
ITA,航空航天国防,美股,航空航天国防,Industrials 工业,true,L3_theme_expand,notion_curation,,,,太空/国防
IVV,标普500核心,美股,SP1500装载源,,true,L1_loader,notion_curation,,,,ADR-022 装载源 · SP500 大盘
IWD,罗素大盘价值,美股,价值style,,true,L2_theme,notion_curation,,,,Russell 1000 Value · Style
IWF,罗素大盘成长,美股,成长style,,true,L2_theme,notion_curation,,,,Russell 1000 Growth · Style
IWM,罗素2000,美股,大盘基准,,false,benchmark,notion_curation,,,,罗素 2000 小盘基准
JETS,航空运输,美股,航空,Industrials 工业,true,L2_theme,notion_curation,,,,全球航空公司
KBE,全银行,美股,银行,Financials 金融,true,L2_theme,notion_curation,,,,含大行 · 备选
KRE,区域银行,美股,银行,Financials 金融,true,L2_theme,notion_curation,,,,区域银行龙头 · 利率敏感
KWEB,中概互联,美股,中概,Communication Services 通信;Consumer Discretionary 可选消费,true,L2_theme,notion_curation,,,,中概互联龙头
LIT,锂电池,美股,锂电池,Materials 材料,true,L3_theme_expand,notion_curation,,,,清洁能源主题
MCHI,MSCI中国,美股,中国股,,true,L2_theme,notion_curation,,,,MSCI 中国宽基 · 备选
METV,元宇宙,美股,元宇宙,Communication Services 通信;Information Technology 科技,true,L2_theme,notion_curation,,,,元宇宙生态
MOO,农业,美股,农业,Materials 材料;Consumer Staples 必需消费,true,L2_theme,notion_curation,,,,全球农业综合
NLR,核能基础设施,美股,核能基础设施,Utilities 公用事业,true,L3_theme_expand,notion_curation,,,,核能主题
NOBL,股息贵族,美股,股息贵族,,true,L2_theme,notion_curation,,,,连续 25 年股息增长 · Factor
NUKZ,核能文艺复兴,美股,核能基础设施,Utilities 公用事业,true,L3_theme_expand,notion_curation,,,,核能主题
NXTG,5G基础设施,美股,5G基础设施,Communication Services 通信;Information Technology 科技,true,L3_theme_expand,notion_curation,,,,5G/光通信
OIH,油田服务,美股,能源上游,Energy 能源,true,L2_theme,notion_curation,,,,油服 · 备选
PAVE,美国基建,美股,基建,Industrials 工业,true,L2_theme,notion_curation,,,,美国基础设施受益
QQQ,纳指100,美股,大盘基准,Information Technology 科技;Communication Services 通信;Consumer Discretionary 可选消费,true,L1_loader,notion_curation,,,,ADR-022 装载源 · NDX 100
QTUM,量子计算,美股,量子计算,Information Technology 科技,true,L3_theme_expand,notion_curation,,,,量子计算主题
REMX,稀土战略金属,美股,稀土,Materials 材料,true,L2_theme,notion_curation,,,,稀土 + 战略金属
ROBO,机器人自动化,美股,AI机器人,Industrials 工业;Information Technology 科技,true,L3_theme_expand,notion_curation,,,,AI/机器人主题
SCHD,高股息,美股,高股息,,true,L2_theme,notion_curation,,,,Schwab 高股息 · Factor
SKYY,云基础设施,美股,云基础设施,Information Technology 科技,true,L3_theme_expand,notion_curation,,,,软件/云计算
SLV,白银现货,美股,白银,Materials 材料,true,L2_theme,notion_curation,,,,白银现货 ETF
SMH,芯片制造,美股,半导体,Information Technology 科技,true,L3_theme_expand,notion_curation,,,,半导体主题
SOXX,半导体,美股,半导体,Information Technology 科技,true,L3_theme_expand,notion_curation,,,,半导体主题
SPY,标普500,美股,大盘基准,,false,benchmark,notion_curation,,,,大盘参考
TAN,太阳能,美股,太阳能,Information Technology 科技;Utilities 公用事业,true,L3_theme_expand,notion_curation,,,,清洁能源主题
TLT,20+年国债,美股,宏观对冲,,false,macro_hedge,notion_curation,,,,宏观对冲不入算法 · 长债避险
UFO,太空卫星,美股,太空卫星,Industrials 工业;Communication Services 通信,true,L3_theme_expand,notion_curation,,,,太空/国防
URA,铀矿,美股,铀矿,Energy 能源;Materials 材料,true,L3_theme_expand,notion_curation,,,,核能主题
UUP,美元指数,美股,宏观对冲,,false,macro_hedge,notion_curation,,,,宏观对冲不入算法 · 美元指数
VIG,股息增长,美股,股息增长,,true,L2_theme,notion_curation,,,,连续 10 年股息增长 · Factor
VNQ,REITs综合,美股,REITs,Real Estate 房地产,true,L2_theme,notion_curation,,,,美国 REITs 综合
VTI,全市场,美股,大盘基准,,false,benchmark,notion_curation,,,,全市场 · 与 SPY 重叠度高
WCLD,云计算,美股,云计算SaaS,Information Technology 科技,true,L3_theme_expand,notion_curation,,,,软件/云计算
XAR,国防军工,美股,航空航天国防,Industrials 工业,true,L3_theme_expand,notion_curation,,,,太空/国防
XBI,生物科技小盘,美股,生物科技小盘,Health Care 医疗,true,L3_theme_expand,notion_curation,,,,生物科技主题
XHB,房屋建造,美股,建商,Consumer Discretionary 可选消费,true,L2_theme,notion_curation,,,,美国建商 + 建材
XLB,材料,美股,GICS板块,Materials 材料,true,L2_theme,notion_curation,,,,GICS板块ETF
XLC,通信服务,美股,GICS板块,Communication Services 通信,true,L2_theme,notion_curation,,,,GICS板块ETF
XLE,能源,美股,GICS板块,Energy 能源,true,L2_theme,notion_curation,,,,GICS板块ETF
XLF,金融,美股,GICS板块,Financials 金融,true,L2_theme,notion_curation,,,,GICS板块ETF
XLI,工业,美股,GICS板块,Industrials 工业,true,L2_theme,notion_curation,,,,GICS板块ETF
XLK,信息技术,美股,GICS板块,Information Technology 科技,true,L2_theme,notion_curation,,,,GICS板块ETF
XLP,必需消费,美股,GICS板块,Consumer Staples 必需消费,true,L2_theme,notion_curation,,,,GICS板块ETF
XLRE,房地产,美股,GICS板块,Real Estate 房地产,true,L2_theme,notion_curation,,,,GICS板块ETF
XLU,公用事业,美股,GICS板块,Utilities 公用事业,true,L2_theme,notion_curation,,,,GICS板块ETF
XLV,医疗保健,美股,GICS板块,Health Care 医疗,true,L2_theme,notion_curation,,,,GICS板块ETF
XLY,可选消费,美股,GICS板块,Consumer Discretionary 可选消费,true,L2_theme,notion_curation,,,,GICS板块ETF
XOP,油气勘探,美股,能源上游,Energy 能源,true,L2_theme,notion_curation,,,,油气勘探生产 E&P
